"state","locality","pop"
"Blue Nile","Ed Damazine",283705
"Blue Nile","El Tadamon",102973
"Blue Nile","El Roseiris",286844
"Blue Nile","Wad El Mahi",158343
"Blue Nile","Baw",166622
"Blue Nile","Geisan",116851
"Blue Nile","El Kurmuk",146194
"Central Darfur","Zalingi",130659
"Central Darfur","Wadi Salih",149355
"Central Darfur","Mukjar",133628
"Central Darfur","North Jebel Mara",119677
"Central Darfur","Central Jebel Mara",145841
"Central Darfur","Bendasi",89179
"Central Darfur","Nertiti",31034
"Central Darfur","Azum",79486
"Central Darfur","Um Dukhun",107836
"East Darfur","Abu Jabra",120068
"East Darfur","Abu Karinka",236681
"East Darfur","Bahr El Arab",263838
"East Darfur","Adila",185797
"East Darfur","Ed Dain",169917
"East Darfur","Assalaya",207745
"East Darfur","El Firdous",142201
"East Darfur","Shia-ria",107427
"East Darfur","Yassin",98018
"Al-Gazeera","Greater Medani",541684
"Al-Gazeera","Ganub Elgazira",712042
"Al-Gazeera","El Hassahisa",774524
"Al-Gazeera","El Kamlin",511181
"Al-Gazeera","Sharg El Gezira",595184
"Al-Gazeera","Um Elqura",282287
"Al-Gazeera","El Manaqil",1164690
"Al-Gazeera","El Qurashi",629576
"Al-Gadarif","Gedaref Town",352676
"Al-Gadarif","Middle Geddaref",144886
"Al-Gadarif","Elbutana",92267
"Al-Gadarif","El Fashaga",156461
"Al-Gadarif","El Rahad",253461
"Al-Gadarif","Gala-a El Nahal",85018
"Al-Gadarif","El Fao",231809
"Al-Gadarif","Eastern Galabat",205653
"Al-Gadarif","El Mafaza",230581
"Al-Gadarif","Basunda",158040
"Al-Gadarif","El Qureisha",107379
"Al-Gadarif","Western Galabat",118157
"Kassala","Kassala Town",356455
"Kassala","Refi Kassla",181743
"Kassala","Rural Western Kassala",94929
"Kassala","New Halfa",253150
"Kassala","Refi Nahr Atbara",164023
"Kassala","Rural Khashm Elgirba",118255
"Kassala","Rural Wad Elhilaiw",100683
"Kassala","Rural Aroma",119482
"Kassala","Refi North Delta",107354
"Kassala","Refi Hamashkureib",284023
"Kassala","Rural Telkok",310008
"Khartoum","Khartoum",834573
"Khartoum","Jebel Awlia",1244503
"Khartoum","Um Durman",670559
"Khartoum","Karrari",939494
"Khartoum","Um Bada",1301151
"Khartoum","Bahri",793994
"Khartoum","Sharg Elneel",1147510
"North Darfur","El Fasher",588662
"North Darfur","Tawila",62404
"North Darfur","Melit",172091
"North Darfur","Um Kadada",118972
"North Darfur","Kebkabiya",248235
"North Darfur","Kutum",194031
"North Darfur","El Mahalha",201135
"North Darfur","Saraf Omra",255124
"North Darfur","El Serief",201307
"North Darfur","AlWaha",299030
"North Darfur","Dar Elsalam",162656
"North Darfur","Kelemando",92656
"North Darfur","El Tawisha",88457
"North Darfur","Um Baru",137447
"North Darfur","El Lait",85252
"North Darfur","ELkuma",87361
"North Darfur","El Tina",102008
"North Darfur","Kernoi",104654
"North Kourdofan","Sheikan",704482
"North Kourdofan","Um Rawaba",452844
"North Kourdofan","Um Dam Haj Ahmed",175151
"North Kourdofan","El Rahad",205720
"North Kourdofan","Bara",239157
"North Kourdofan","Gharb Bara",231277
"North Kourdofan","Soudari",342477
"North Kourdofan","Gebrat El Sheikh",286648
"Northern","Dongola",202240
"Northern","El Golid",106290
"Northern","Merwoe",204632
"Northern","El Daba",195610
"Northern","Halfa",42764
"Northern","Delgo",56177
"Northern","El Burgaig",116472
"Red Sea","Port Sudan",363099
"Red Sea","Swakin",105911
"Red Sea","El Ganab Elawlait",148633
"Red Sea","Sinkat",223015
"Red Sea","Haya",444603
"Red Sea","Dordieb",39900
"Red Sea","Tokar",211249
"Red Sea","Agig",99379
"Red Sea","Gabaot Elma-aadin",40514
"Red Sea","Halaeeb",160612
"River Nile","El Matama",187677
"River Nile","Shendi",336133
"River Nile","Abu Hamad",157372
"River Nile","Barbar",186927
"River Nile","El Damar",352044
"River Nile","Atbara",166247
"River Nile","El Buhaira",34322
"Sinar","Sennar",381518
"Sinar","Sharg Sennar",292429
"Sinar","Sinja",196683
"Sinar","Abu Hujar",165876
"Sinar","El Dali",90223
"Sinar","Es Suki",267120
"Sinar","Ed Dinder",244515
"South Darfur","Nyala South",375474
"South Darfur","Nyala North",291150
"South Darfur","Es Salam",116708
"South Darfur","El Wihda",63413
"South Darfur","Mershing",52530
"South Darfur","Beliel",106010
"South Darfur","Nitega",126061
"South Darfur","Sharg El Jabal",14785
"South Darfur","Kas",253352
"South Darfur","Shattaya",58088
"South Darfur","Buram",187622
"South Darfur","Gereida",113517
"South Darfur","El Sunta",165020
"South Darfur","El Radoum",168091
"South Darfur","Tulus",338678
"South Darfur","Damso",182446
"South Darfur","Ed Elfursan",267366
"South Darfur","Kubum",231672
"South Darfur","Kateila",144148
"South Darfur","Rehaid Elbirdi",252550
"South Darfur","Um Dafoug",73986
"South Kourdofan","Kadugli",88758
"South Kourdofan","Reif Shargi",41414
"South Kourdofan","Dilling",128564
"South Kourdofan","El Quoz",121989
"South Kourdofan","Habila",54467
"South Kourdofan","Abassiya",125218
"South Kourdofan","El Rashad",66762
"South Kourdofan","Abu Jubaiha",174111
"South Kourdofan","El Tadamon",88616
"South Kourdofan","Talodi",39310
"South Kourdofan","Ghadeer",49385
"South Kourdofan","El Leri",40795
"South Kourdofan","Abu Karshola",110322
"South Kourdofan","Delami",1063
"South Kourdofan","Umdoren",6141
"South Kourdofan","Alburam",44653
"South Kourdofan","Heban",131134
"West Darfur","El Geneina",325322
"West Darfur","Kereneik",127831
"West Darfur","Habila",79748
"West Darfur","Foro Baranga",89963
"West Darfur","Beida",90695
"West Darfur","Kulbus",144927
"West Darfur","Jebel Moon",123217
"West Darfur","Sirba",113325
"West Kourdofan","Abu Zabad",148810
"West Kourdofan","ElKhiwai",81048
"West Kourdofan","Ghubaish",194502
"West Kourdofan","El Idia",176755
"West Kourdofan","El Nuhud",329724
"West Kourdofan","Wad Benda",202143
"West Kourdofan","Lagawa",83450
"West Kourdofan","Elsunut",134677
"West Kourdofan","Keilik",53934
"West Kourdofan","Es Salam",100361
"West Kourdofan","Babanusa",64051
"West Kourdofan","Abyei",118366
"West Kourdofan","El Dibab",79423
"West Kourdofan","El Meiram",81500
"White Nile","Kosti",513099
"White Nile","Guli",169650
"White Nile","Tendalti",179798
"White Nile","Es Salam",132861
"White Nile","Rabak",302876
"White Nile","El Jabalain",224225
"White Nile","El Diwaim",379106
"White Nile","Um Rimta",150524
"White Nile","El Gitaina",311662
"South Darfur","Kalma camp",126172
"West Darfur","Mornie camp",40775
"North Darfur","Zamzam camp",107132
